@relation energy_consumption-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute DateTime string
@attribute Consumption numeric
@attribute Production numeric
@attribute Nuclear numeric
@attribute Wind numeric
@attribute Hydroelectric numeric
@attribute Oil_and_Gas numeric
@attribute Coal numeric
@attribute Solar numeric
@attribute Biomass numeric

@data
03/01/2019?11:00,0.716905,0.580734,0.881564,0.075432,0.383893,0.860525,0.633304,0.139842,43
03/01/2019?12:00,0.712015,0.583321,0.884916,0.072259,0.393989,0.85229,0.627989,0.147757,42
03/01/2019?13:00,0.722319,0.601887,0.897207,0.075079,0.41019,0.861554,0.64039,0.134565,45
03/01/2019?14:00,0.699092,0.591843,0.877095,0.125837,0.38178,0.887288,0.60496,0.100264,43
03/01/2019?15:00,0.695774,0.60904,0.877095,0.174833,0.408077,0.855378,0.599646,0.043096,43
03/01/2019?16:00,0.722494,0.614975,0.835754,0.218188,0.407138,0.856922,0.599646,0.004398,42
03/01/2019?17:00,0.800733,0.679805,0.830168,0.246035,0.463489,0.8842,0.627104,0,44
03/01/2019?18:00,0.807719,0.713894,0.871508,0.485372,0.36464,0.891405,0.589903,0,43
03/01/2019?19:00,0.800035,0.752701,0.90838,0.640113,0.331768,0.869274,0.576616,0,41
03/01/2019?20:00,0.755327,0.776746,0.903911,0.768065,0.321907,0.865672,0.508415,0,41
03/01/2019?21:00,0.706078,0.785573,0.918436,0.817413,0.34069,0.867216,0.429584,0,41
03/01/2019?22:00,0.622599,0.788312,0.92514,0.847726,0.322376,0.869274,0.429584,0,41
03/01/2019?23:00,0.538771,0.723786,0.922905,0.896017,0.211552,0.839424,0.41674,0,41
04/01/2019?0:00,0.475201,0.716482,0.924022,0.932675,0.189481,0.808543,0.417183,0,40
04/01/2019?1:00,0.439574,0.663065,0.929609,0.938668,0.193707,0.599074,0.423826,0,42
04/01/2019?2:00,0.433636,0.659717,0.934078,0.916814,0.206621,0.571282,0.438884,0,42
04/01/2019?3:00,0.410059,0.641759,0.930726,0.928093,0.17962,0.56562,0.429584,0,42
04/01/2019?4:00,0.438177,0.665804,0.934078,0.951005,0.193707,0.569738,0.440655,0,42
04/01/2019?5:00,0.461229,0.679805,0.931844,0.966161,0.203569,0.571282,0.442427,0,42
04/01/2019?6:00,0.520433,0.722569,0.930726,0.962284,0.225875,0.584148,0.519929,0,42
04/01/2019?7:00,0.613692,0.753919,0.934078,0.938668,0.250998,0.633556,0.54783,0,45
04/01/2019?8:00,0.704855,0.821488,0.917318,0.893197,0.302653,0.775605,0.581488,0.012313,44
04/01/2019?9:00,0.763011,0.843555,0.834637,0.867818,0.302418,0.87545,0.599203,0.064204,45
04/01/2019?10:00,0.784841,0.858469,0.881564,0.862883,0.30641,0.876994,0.597431,0.111697,45
04/01/2019?11:00,0.768774,0.846294,0.893855,0.87945,0.292087,0.87545,0.545173,0.163588,46
04/01/2019?12:00,0.758295,0.825293,0.849162,0.902009,0.27166,0.870818,0.495571,0.189094,46
04/01/2019?13:00,0.757946,0.795769,0.870391,0.895312,0.264616,0.838909,0.45837,0.175022,44
04/01/2019?14:00,0.730527,0.765028,0.851397,0.804723,0.285278,0.846629,0.466342,0.132806,43
04/01/2019?15:00,0.732274,0.731243,0.872626,0.657385,0.295375,0.874421,0.523472,0.087951,45
04/01/2019?16:00,0.735243,0.69411,0.896089,0.543179,0.276826,0.874936,0.618689,0.022867,43
04/01/2019?17:00,0.833915,0.699133,0.890503,0.359535,0.393285,0.886258,0.647033,0.00088,44
04/01/2019?18:00,0.845267,0.656521,0.916201,0.230878,0.39352,0.92177,0.643933,0,45
04/01/2019?19:00,0.826057,0.639324,0.917318,0.148396,0.401972,0.930005,0.675376,0,42
04/01/2019?20:00,0.777855,0.617866,0.917318,0.130419,0.385537,0.926402,0.668733,0,43
04/01/2019?21:00,0.7197,0.616649,0.915084,0.092704,0.405494,0.931549,0.671391,0,43
04/01/2019?22:00,0.616137,0.572516,0.916201,0.05957,0.366283,0.928976,0.661205,0,42
04/01/2019?23:00,0.554663,0.583168,0.916201,0.047233,0.382719,0.934122,0.671833,0,41
05/01/2019?0:00,0.494411,0.535231,0.916201,0.039831,0.331298,0.918682,0.651461,0,41
05/01/2019?1:00,0.455292,0.459291,0.926257,0.027494,0.226109,0.913021,0.647033,0,41
05/01/2019?2:00,0.433811,0.443312,0.926257,0.029609,0.212961,0.90736,0.626218,0,42
05/01/2019?3:00,0.424031,0.443464,0.927374,0.05111,0.200282,0.906845,0.624004,0,42
05/01/2019?4:00,0.438177,0.453051,0.930726,0.063095,0.22564,0.878538,0.612046,0,41
05/01/2019?5:00,0.440971,0.453051,0.929609,0.054283,0.229397,0.880082,0.615146,0,41
05/01/2019?6:00,0.483234,0.464465,0.928492,0.057455,0.238084,0.877509,0.630204,0,42
05/01/2019?7:00,0.539294,0.464009,0.929609,0.081777,0.22517,0.874421,0.624004,0,44
05/01/2019?8:00,0.606532,0.44666,0.927374,0.118082,0.227988,0.763253,0.607174,0.023747,44
05/01/2019?9:00,0.64897,0.490793,0.928492,0.12337,0.217422,0.87545,0.596988,0.131047,44
05/01/2019?10:00,0.677087,0.530969,0.930726,0.12055,0.241606,0.877509,0.605846,0.260334,43
05/01/2019?11:00,0.676563,0.562167,0.92514,0.11209,0.258746,0.875965,0.629318,0.35796,43
05/01/2019?12:00,0.679183,0.573429,0.930726,0.110328,0.256633,0.878024,0.646147,0.39314,42
05/01/2019?13:00,0.656654,0.557906,0.928492,0.130772,0.232214,0.875965,0.637733,0.365875,42
05/01/2019?14:00,0.632553,0.543144,0.930726,0.209729,0.192768,0.873392,0.612489,0.28584,42
05/01/2019?15:00,0.642333,0.52823,0.930726,0.221008,0.228692,0.878024,0.559787,0.131926,42
05/01/2019?16:00,0.701188,0.549384,0.929609,0.213958,0.254285,0.885229,0.639061,0.007916,42
